day,population,activities,time,time_in_minutes
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Household management (excluding online services),00:46,46
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Childcare (less than 17 years) ,,
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Help to an adult household member ,01:34,94
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Voluntary work and meetings,01:58,118
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Organisational work ,01:46,106
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Informal help to other households,01:16,76
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Participatory activities,03:47,227
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Social life and entertainment  ,01:09,69
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Sociability,00:38,38
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Visiting and receiving visitors,01:31,91
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Culture,01:59,119
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Entertainment ,01:34,94
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Resting — Time out,00:29,29
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Sports and outdoor activities ,01:32,92
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Sports,01:32,92
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Outdoor activities ,02:30,150
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Hobbies and games,01:24,84
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Arts,01:06,66
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Collecting,00:50,50
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Computing,01:20,80
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Games,00:52,52
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Media,02:29,149
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Reading,00:58,58
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)"," TV, video and dvd",02:21,141
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)"," Listening to radio, music",00:26,26
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Travel,01:38,98
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel related to eating,00:28,28
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel to/from work,01:07,67
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel related to study,00:51,51
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel related to household care,00:54,54
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel related to voluntary work and meetings ,00:46,46
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel related to social life,01:08,68
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel related to sports,00:34,34
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel related to changing locality,,
Year 2014_Monday til Friday,Population in employment,Personal care,10:33,633
Year 2014_Monday til Friday,Population in employment,Sleep,07:58,478
Year 2014_Monday til Friday,Population in employment,Eating,01:43,103
Year 2014_Monday til Friday,Population in employment,Other personal care,00:54,54
Year 2014_Monday til Friday,Population in employment,Employment,07:48,468
Year 2014_Monday til Friday,Population in employment, Main job,07:47,467
Year 2014_Monday til Friday,Population in employment, Job seeking,02:07,127
Year 2014_Monday til Friday,Population in employment, Second job,02:14,134
Year 2014_Monday til Friday,Population in employment,Study,02:02,122
Year 2014_Monday til Friday,Population in employment, School or university,03:33,213
Year 2014_Monday til Friday,Population in employment, Homework,01:41,101
Year 2014_Monday til Friday,Population in employment, Free time study,01:37,97
Year 2014_Monday til Friday,Population in employment,Household and family care,02:31,151
Year 2014_Monday til Friday,Population in employment, Food management,00:55,55
Year 2014_Monday til Friday,Population in employment, Household upkeep,00:55,55
Year 2014_Monday til Friday,Population in employment, Making and care for textiles,00:48,48
Year 2014_Monday til Friday,Population in employment, Gardening and pet care,00:59,59
Year 2014_Monday til Friday,Population in employment, Construction and repairs,01:48,108
Year 2014_Monday til Friday,Population in employment, Shopping and services (excluding online services),00:59,59
Year 2014_Monday til Friday,Population in employment, Household management (excluding online services),00:37,37
Year 2014_Monday til Friday,Population in employment, Childcare (less than 17 years) ,01:35,95
Year 2014_Monday til Friday,Population in employment, Help to an adult household member ,01:24,84
Year 2014_Monday til Friday,Population in employment,Voluntary work and meetings,01:53,113
Year 2014_Monday til Friday,Population in employment, Organisational work ,02:03,123
Year 2014_Monday til Friday,Population in employment, Informal help to other households,01:38,98
Year 2014_Monday til Friday,Population in employment,Participatory activities,01:45,105
Year 2014_Monday til Friday,Population in employment,Social life and entertainment  ,01:01,61
Year 2014_Monday til Friday,Population in employment, Sociability,00:35,35
Year 2014_Monday til Friday,Population in employment, Visiting and receiving visitors,01:19,79
Year 2014_Monday til Friday,Population in employment, Culture,02:01,121
Year 2014_Monday til Friday,Population in employment, Entertainment ,01:54,114
Year 2014_Monday til Friday,Population in employment, Resting — Time out,00:24,24
Year 2014_Monday til Friday,Population in employment,Sports and outdoor activities ,01:27,87
Year 2014_Monday til Friday,Population in employment, Sports,01:27,87
Year 2014_Monday til Friday,Population in employment,Outdoor activities ,01:41,101
Year 2014_Monday til Friday,Population in employment,Hobbies and games,01:13,73
Year 2014_Monday til Friday,Population in employment, Arts,01:17,77
Year 2014_Monday til Friday,Population in employment, Collecting,00:50,50
Year 2014_Monday til Friday,Population in employment, Computing,01:06,66
Year 2014_Monday til Friday,Population in employment, Games,01:02,62
Year 2014_Monday til Friday,Population in employment,Media,02:03,123
Year 2014_Monday til Friday,Population in employment, Reading,00:51,51
Year 2014_Monday til Friday,Population in employment," TV, video and dvd",01:56,116
Year 2014_Monday til Friday,Population in employment," Listening to radio, music",00:31,31
Year 2014_Monday til Friday,Population in employment,Travel,01:39,99
Year 2014_Monday til Friday,Population in employment, Travel related to eating,00:29,29
Year 2014_Monday til Friday,Population in employment, Travel to/from work,01:05,65
Year 2014_Monday til Friday,Population in employment, Travel related to study,00:33,33
Year 2014_Monday til Friday,Population in employment, Travel related to household care,00:48,48
Year 2014_Monday til Friday,Population in employment, Travel related to voluntary work and meetings ,00:43,43
Year 2014_Monday til Friday,Population in employment, Travel related to social life,00:52,52
Year 2014_Monday til Friday,Population in employment, Travel related to sports,00:35,35
Year 2014_Monday til Friday,Population in employment, Travel related to changing locality,00:30,30
Year 2014_Monday til Friday,"Unemployed, looking for a job",Personal care,12:01,721
Year 2014_Monday til Friday,"Unemployed, looking for a job",Sleep,09:02,542
Year 2014_Monday til Friday,"Unemployed, looking for a job",Eating,01:59,119
Year 2014_Monday til Friday,"Unemployed, looking for a job",Other personal care,01:05,65
Year 2014_Monday til Friday,"Unemployed, looking for a job",Employment,03:11,191
Year 2014_Monday til Friday,"Unemployed, looking for a job", Main job,01:10,70
Year 2014_Monday til Friday,"Unemployed, looking for a job", Job seeking,02:57,177
Year 2014_Monday til Friday,"Unemployed, looking for a job", Second job,03:20,200
Year 2014_Monday til Friday,"Unemployed, looking for a job",Study,02:18,138
Year 2014_Monday til Friday,"Unemployed, looking for a job", School or university,01:42,102
Year 2014_Monday til Friday,"Unemployed, looking for a job", Homework,00:35,35
Year 2014_Monday til Friday,"Unemployed, looking for a job", Free time study,02:07,127
Year 2014_Monday til Friday,"Unemployed, looking for a job",Household and family care,03:45,225
Year 2014_Monday til Friday,"Unemployed, looking for a job", Food management,01:20,80
Year 2014_Monday til Friday,"Unemployed, looking for a job", Household upkeep,01:19,79
Year 2014_Monday til Friday,"Unemployed, looking for a job", Making and care for textiles,00:45,45
Year 2014_Monday til Friday,"Unemployed, looking for a job", Gardening and pet care,02:33,153
Year 2014_Monday til Friday,"Unemployed, looking for a job", Construction and repairs,01:10,70
Year 2014_Monday til Friday,"Unemployed, looking for a job", Shopping and services (excluding online services),01:01,61
Year 2014_Monday til Friday,"Unemployed, looking for a job", Household management (excluding online services),00:41,41
Year 2014_Monday til Friday,"Unemployed, looking for a job", Childcare (less than 17 years) ,01:40,100
Year 2014_Monday til Friday,"Unemployed, looking for a job", Help to an adult household member ,00:50,50
Year 2014_Monday til Friday,"Unemployed, looking for a job",Voluntary work and meetings,02:24,144
Year 2014_Monday til Friday,"Unemployed, looking for a job", Organisational work ,03:45,225
Year 2014_Monday til Friday,"Unemployed, looking for a job", Informal help to other households,00:59,59
Year 2014_Monday til Friday,"Unemployed, looking for a job",Participatory activities,02:58,178
Year 2014_Monday til Friday,"Unemployed, looking for a job",Social life and entertainment  ,01:12,72
Year 2014_Monday til Friday,"Unemployed, looking for a job", Sociability,00:48,48
Year 2014_Monday til Friday,"Unemployed, looking for a job", Visiting and receiving visitors,01:20,80
Year 2014_Monday til Friday,"Unemployed, looking for a job", Culture,02:30,150
Year 2014_Monday til Friday,"Unemployed, looking for a job", Entertainment ,01:01,61
Year 2014_Monday til Friday,"Unemployed, looking for a job", Resting — Time out,00:50,50
Year 2014_Monday til Friday,"Unemployed, looking for a job",Sports and outdoor activities ,02:01,121
Year 2014_Monday til Friday,"Unemployed, looking for a job", Sports,02:01,121
Year 2014_Monday til Friday,"Unemployed, looking for a job",Outdoor activities ,,
Year 2014_Monday til Friday,"Unemployed, looking for a job",Hobbies and games,01:49,109
Year 2014_Monday til Friday,"Unemployed, looking for a job", Arts,02:44,164
Year 2014_Monday til Friday,"Unemployed, looking for a job", Collecting,,
Year 2014_Monday til Friday,"Unemployed, looking for a job", Computing,01:34,94
Year 2014_Monday til Friday,"Unemployed, looking for a job", Games,01:09,69
Year 2014_Monday til Friday,"Unemployed, looking for a job",Media,03:22,202
Year 2014_Monday til Friday,"Unemployed, looking for a job", Reading,01:15,75
Year 2014_Monday til Friday,"Unemployed, looking for a job"," TV, video and dvd",03:01,181
Year 2014_Monday til Friday,"Unemployed, looking for a job"," Listening to radio, music",00:33,33
Year 2014_Monday til Friday,"Unemployed, looking for a job",Travel,01:40,100
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel related to eating,00:46,46
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel to/from work,01:00,60
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel related to study,00:52,52
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel related to household care,01:17,77
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel related to voluntary work and meetings ,01:11,71
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel related to social life,01:17,77
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel related to sports,00:34,34
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel related to changing locality,,
Year 2014_Monday til Friday,Retired,Personal care,11:54,714
Year 2014_Monday til Friday,Retired,Sleep,08:52,532
Year 2014_Monday til Friday,Retired,Eating,02:01,121
Year 2014_Monday til Friday,Retired,Other personal care,01:01,61
Year 2014_Monday til Friday,Retired,Employment,03:03,183
Year 2014_Monday til Friday,Retired, Main job,04:40,280
Year 2014_Monday til Friday,Retired, Job seeking,,
Year 2014_Monday til Friday,Retired, Second job,02:53,173
Year 2014_Monday til Friday,Retired,Study,01:55,115
Year 2014_Monday til Friday,Retired, School or university,,
Year 2014_Monday til Friday,Retired, Homework,,
Year 2014_Monday til Friday,Retired, Free time study,01:55,115
Year 2014_Monday til Friday,Retired,Household and family care,04:02,242
Year 2014_Monday til Friday,Retired, Food management,01:14,74
Year 2014_Monday til Friday,Retired, Household upkeep,01:16,76
Year 2014_Monday til Friday,Retired, Making and care for textiles,01:02,62
Year 2014_Monday til Friday,Retired, Gardening and pet care,01:31,91
Year 2014_Monday til Friday,Retired, Construction and repairs,02:25,145
Year 2014_Monday til Friday,Retired, Shopping and services (excluding online services),01:13,73
Year 2014_Monday til Friday,Retired, Household management (excluding online services),00:50,50
Year 2014_Monday til Friday,Retired, Childcare (less than 17 years) ,02:24,144
Year 2014_Monday til Friday,Retired, Help to an adult household member ,01:51,111
Year 2014_Monday til Friday,Retired,Voluntary work and meetings,02:47,167
Year 2014_Monday til Friday,Retired, Organisational work ,03:06,186
Year 2014_Monday til Friday,Retired, Informal help to other households,02:29,149
Year 2014_Monday til Friday,Retired,Participatory activities,01:41,101
Year 2014_Monday til Friday,Retired,Social life and entertainment  ,01:10,70
Year 2014_Monday til Friday,Retired, Sociability,00:42,42
Year 2014_Monday til Friday,Retired, Visiting and receiving visitors,01:02,62
Year 2014_Monday til Friday,Retired, Culture,02:22,142
Year 2014_Monday til Friday,Retired, Entertainment ,01:10,70
Year 2014_Monday til Friday,Retired, Resting — Time out,00:32,32
Year 2014_Monday til Friday,Retired,Sports and outdoor activities ,02:03,123
Year 2014_Monday til Friday,Retired, Sports,01:51,111
Year 2014_Monday til Friday,Retired,Outdoor activities ,04:55,295
Year 2014_Monday til Friday,Retired,Hobbies and games,01:40,100
Year 2014_Monday til Friday,Retired, Arts,01:56,116
Year 2014_Monday til Friday,Retired, Collecting,,
Year 2014_Monday til Friday,Retired, Computing,01:36,96
Year 2014_Monday til Friday,Retired, Games,01:10,70
Year 2014_Monday til Friday,Retired,Media,03:57,237
Year 2014_Monday til Friday,Retired, Reading,01:05,65
Year 2014_Monday til Friday,Retired," TV, video and dvd",03:16,196
Year 2014_Monday til Friday,Retired," Listening to radio, music",00:29,29
Year 2014_Monday til Friday,Retired,Travel,01:28,88
Year 2014_Monday til Friday,Retired, Travel related to eating,00:39,39
Year 2014_Monday til Friday,Retired, Travel to/from work,01:16,76
Year 2014_Monday til Friday,Retired, Travel related to study,01:29,89
Year 2014_Monday til Friday,Retired, Travel related to household care,00:54,54
Year 2014_Monday til Friday,Retired, Travel related to voluntary work and meetings ,00:48,48
Year 2014_Monday til Friday,Retired, Travel related to social life,01:00,60
Year 2014_Monday til Friday,Retired, Travel related to sports,00:37,37
Year 2014_Monday til Friday,Retired, Travel related to changing locality,00:50,50
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Personal care,12:48,768
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Sleep,09:36,576
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Eating,02:03,123
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Other personal care,01:18,78
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Employment,02:00,120
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Main job,,
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Job seeking,00:30,30
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Second job,04:00,240
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Study,01:30,90
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, School or university,,
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Homework,01:30,90
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Free time study,,
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Household and family care,04:25,265
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Food management,01:39,99
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Household upkeep,01:11,71
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Making and care for textiles,01:04,64
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Gardening and pet care,01:24,84
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Construction and repairs,01:07,67
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Shopping and services (excluding online services),01:16,76
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Household management (excluding online services),00:58,58
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Childcare (less than 17 years) ,01:35,95
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Help to an adult household member ,01:59,119
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Voluntary work and meetings,03:39,219
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Organisational work ,,
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Informal help to other households,02:40,160
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Participatory activities,05:44,344
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Social life and entertainment  ,01:35,95
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Sociability,00:33,33
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Visiting and receiving visitors,01:08,68
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Culture,,
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Entertainment ,01:47,107
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Resting — Time out,01:02,62
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Sports and outdoor activities ,02:03,123
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Sports,02:05,125
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Outdoor activities ,01:30,90
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Hobbies and games,01:47,107
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Arts,01:24,84
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Collecting,,
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Computing,01:32,92
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Games,01:13,73
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Media,03:59,239
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Reading,01:17,77
Year 2014_Monday til Friday,Persons in incapacity for work or disabled," TV, video and dvd",03:27,207
Year 2014_Monday til Friday,Persons in incapacity for work or disabled," Listening to radio, music",00:40,40
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Travel,01:06,66
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel related to eating,00:30,30
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel to/from work,01:07,67
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel related to study,,
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel related to household care,01:01,61
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel related to voluntary work and meetings ,00:55,55
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel related to social life,00:50,50
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel related to sports,00:22,22
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel related to changing locality,,
Year 2014_Monday til Friday,Employed in own household,Personal care,11:33,693
Year 2014_Monday til Friday,Employed in own household,Sleep,08:43,523
Year 2014_Monday til Friday,Employed in own household,Eating,01:52,112
Year 2014_Monday til Friday,Employed in own household,Other personal care,00:59,59
Year 2014_Monday til Friday,Employed in own household,Employment,06:12,372
Year 2014_Monday til Friday,Employed in own household, Main job,00:20,20
Year 2014_Monday til Friday,Employed in own household, Job seeking,,
Year 2014_Monday til Friday,Employed in own household, Second job,06:09,369
Year 2014_Monday til Friday,Employed in own household,Study,01:58,118
Year 2014_Monday til Friday,Employed in own household, School or university,,
Year 2014_Monday til Friday,Employed in own household, Homework,,
Year 2014_Monday til Friday,Employed in own household, Free time study,01:58,118
Year 2014_Monday til Friday,Employed in own household,Household and family care,06:24,384
Year 2014_Monday til Friday,Employed in own household, Food management,01:55,115
Year 2014_Monday til Friday,Employed in own household, Household upkeep,01:33,93
Year 2014_Monday til Friday,Employed in own household, Making and care for textiles,01:31,91
Year 2014_Monday til Friday,Employed in own household, Gardening and pet care,01:49,109
Year 2014_Monday til Friday,Employed in own household, Construction and repairs,00:55,55
Year 2014_Monday til Friday,Employed in own household, Shopping and services (excluding online services),01:31,91
Year 2014_Monday til Friday,Employed in own household, Household management (excluding online services),00:56,56
Year 2014_Monday til Friday,Employed in own household, Childcare (less than 17 years) ,02:39,159
Year 2014_Monday til Friday,Employed in own household, Help to an adult household member ,00:40,40
Year 2014_Monday til Friday,Employed in own household,Voluntary work and meetings,02:01,121
Year 2014_Monday til Friday,Employed in own household, Organisational work ,02:58,178
Year 2014_Monday til Friday,Employed in own household, Informal help to other households,01:48,108
Year 2014_Monday til Friday,Employed in own household,Participatory activities,01:59,119
Year 2014_Monday til Friday,Employed in own household,Social life and entertainment  ,01:07,67
Year 2014_Monday til Friday,Employed in own household, Sociability,00:45,45
Year 2014_Monday til Friday,Employed in own household, Visiting and receiving visitors,01:05,65
Year 2014_Monday til Friday,Employed in own household, Culture,01:30,90
Year 2014_Monday til Friday,Employed in own household, Entertainment ,01:15,75
Year 2014_Monday til Friday,Employed in own household, Resting — Time out,00:28,28
Year 2014_Monday til Friday,Employed in own household,Sports and outdoor activities ,01:19,79
Year 2014_Monday til Friday,Employed in own household, Sports,01:16,76
Year 2014_Monday til Friday,Employed in own household,Outdoor activities ,03:20,200
Year 2014_Monday til Friday,Employed in own household,Hobbies and games,01:22,82
Year 2014_Monday til Friday,Employed in own household, Arts,01:27,87
Year 2014_Monday til Friday,Employed in own household, Collecting,,
Year 2014_Monday til Friday,Employed in own household, Computing,01:15,75
Year 2014_Monday til Friday,Employed in own household, Games,00:55,55
Year 2014_Monday til Friday,Employed in own household,Media,02:46,166
Year 2014_Monday til Friday,Employed in own household, Reading,00:49,49
Year 2014_Monday til Friday,Employed in own household," TV, video and dvd",02:33,153
Year 2014_Monday til Friday,Employed in own household," Listening to radio, music",00:14,14
Year 2014_Monday til Friday,Employed in own household,Travel,01:44,104
Year 2014_Monday til Friday,Employed in own household, Travel related to eating,00:26,26
Year 2014_Monday til Friday,Employed in own household, Travel to/from work,00:56,56
Year 2014_Monday til Friday,Employed in own household, Travel related to study,02:10,130
Year 2014_Monday til Friday,Employed in own household, Travel related to household care,01:25,85
Year 2014_Monday til Friday,Employed in own household, Travel related to voluntary work and meetings ,00:59,59
Year 2014_Monday til Friday,Employed in own household, Travel related to social life,00:58,58
Year 2014_Monday til Friday,Employed in own household, Travel related to sports,00:34,34
Year 2014_Monday til Friday,Employed in own household, Travel related to changing locality,,
Year 2014_Monday til Friday,Students,Personal care,11:49,709
Year 2014_Monday til Friday,Students,Sleep,09:11,551
Year 2014_Monday til Friday,Students,Eating,01:44,104
Year 2014_Monday til Friday,Students,Other personal care,00:55,55
Year 2014_Monday til Friday,Students,Employment,06:18,378
Year 2014_Monday til Friday,Students, Main job,07:32,452
Year 2014_Monday til Friday,Students, Job seeking,02:01,121
Year 2014_Monday til Friday,Students, Second job,05:30,330
Year 2014_Monday til Friday,Students,Study,07:06,426
Year 2014_Monday til Friday,Students, School or university,05:47,347
Year 2014_Monday til Friday,Students, Homework,02:07,127
Year 2014_Monday til Friday,Students, Free time study,01:18,78
Year 2014_Monday til Friday,Students,Household and family care,01:13,73
Year 2014_Monday til Friday,Students, Food management,00:35,35
Year 2014_Monday til Friday,Students, Household upkeep,00:39,39
Year 2014_Monday til Friday,Students, Making and care for textiles,00:26,26
Year 2014_Monday til Friday,Students, Gardening and pet care,00:40,40
Year 2014_Monday til Friday,Students, Construction and repairs,02:15,135
Year 2014_Monday til Friday,Students, Shopping and services (excluding online services),01:13,73
Year 2014_Monday til Friday,Students, Household management (excluding online services),00:29,29
Year 2014_Monday til Friday,Students, Childcare (less than 17 years) ,01:20,80
Year 2014_Monday til Friday,Students, Help to an adult household member ,02:19,139
Year 2014_Monday til Friday,Students,Voluntary work and meetings,01:49,109
Year 2014_Monday til Friday,Students, Organisational work ,02:05,125
Year 2014_Monday til Friday,Students, Informal help to other households,01:36,96
Year 2014_Monday til Friday,Students,Participatory activities,01:35,95
Year 2014_Monday til Friday,Students,Social life and entertainment  ,01:27,87
Year 2014_Monday til Friday,Students, Sociability,00:37,37
Year 2014_Monday til Friday,Students, Visiting and receiving visitors,02:02,122
Year 2014_Monday til Friday,Students, Culture,02:21,141
Year 2014_Monday til Friday,Students, Entertainment ,03:10,190
Year 2014_Monday til Friday,Students, Resting — Time out,00:30,30
Year 2014_Monday til Friday,Students,Sports and outdoor activities ,01:58,118
Year 2014_Monday til Friday,Students, Sports,01:58,118
Year 2014_Monday til Friday,Students,Outdoor activities ,02:10,130
Year 2014_Monday til Friday,Students,Hobbies and games,01:49,109
Year 2014_Monday til Friday,Students, Arts,01:03,63
Year 2014_Monday til Friday,Students, Collecting,,
Year 2014_Monday til Friday,Students, Computing,01:24,84
Year 2014_Monday til Friday,Students, Games,01:51,111
Year 2014_Monday til Friday,Students,Media,02:17,137
Year 2014_Monday til Friday,Students, Reading,00:52,52
Year 2014_Monday til Friday,Students," TV, video and dvd",02:11,131
Year 2014_Monday til Friday,Students," Listening to radio, music",01:07,67
Year 2014_Monday til Friday,Students,Travel,01:44,104
Year 2014_Monday til Friday,Students, Travel related to eating,00:35,35
Year 2014_Monday til Friday,Students, Travel to/from work,01:28,88
Year 2014_Monday til Friday,Students, Travel related to study,01:18,78
Year 2014_Monday til Friday,Students, Travel related to household care,00:54,54
Year 2014_Monday til Friday,Students, Travel related to voluntary work and meetings ,00:34,34
Year 2014_Monday til Friday,Students, Travel related to social life,01:00,60
Year 2014_Monday til Friday,Students, Travel related to sports,00:36,36
Year 2014_Monday til Friday,Students, Travel related to changing locality,01:12,72
Year 2014_Saturday,All,Personal care,12:15,735
Year 2014_Saturday,All,Sleep,09:06,546
Year 2014_Saturday,All,Eating,02:09,129
Year 2014_Saturday,All,Other personal care,01:02,62
Year 2014_Saturday,All,Employment,06:30,390
Year 2014_Saturday,All, Main job,06:42,402
Year 2014_Saturday,All, Job seeking,,
Year 2014_Saturday,All, Second job,03:39,219
Year 2014_Saturday,All,Study,02:43,163
Year 2014_Saturday,All, School or university,04:26,266
Year 2014_Saturday,All, Homework,02:24,144
Year 2014_Saturday,All, Free time study,02:19,139
Year 2014_Saturday,All,Household and family care,03:31,211
Year 2014_Saturday,All, Food management,01:10,70
Year 2014_Saturday,All, Household upkeep,01:08,68
Year 2014_Saturday,All, Making and care for textiles,00:57,57
Year 2014_Saturday,All, Gardening and pet care,01:25,85
Year 2014_Saturday,All, Construction and repairs,01:51,111
Year 2014_Saturday,All, Shopping and services (excluding online services),01:20,80
Year 2014_Saturday,All, Household management (excluding online services),00:46,46
Year 2014_Saturday,All, Childcare (less than 17 years) ,01:52,112
Year 2014_Saturday,All, Help to an adult household member ,01:13,73
Year 2014_Saturday,All,Voluntary work and meetings,02:14,134
Year 2014_Saturday,All, Organisational work ,03:10,190
Year 2014_Saturday,All, Informal help to other households,01:52,112
Year 2014_Saturday,All,Participatory activities,01:58,118
Year 2014_Saturday,All,Social life and entertainment  ,02:20,140
Year 2014_Saturday,All, Sociability,00:52,52
Year 2014_Saturday,All, Visiting and receiving visitors,01:57,117
Year 2014_Saturday,All, Culture,02:19,139
Year 2014_Saturday,All, Entertainment ,03:05,185
Year 2014_Saturday,All, Resting — Time out,00:34,34
Year 2014_Saturday,All,Sports and outdoor activities ,02:03,123
Year 2014_Saturday,All, Sports,02:02,122
Year 2014_Saturday,All,Outdoor activities ,02:43,163
Year 2014_Saturday,All,Hobbies and games,01:49,109
Year 2014_Saturday,All, Arts,01:25,85
Year 2014_Saturday,All, Collecting,01:00,60
Year 2014_Saturday,All, Computing,01:23,83
Year 2014_Saturday,All, Games,01:56,116
Year 2014_Saturday,All,Media,03:01,181
Year 2014_Saturday,All, Reading,01:09,69
Year 2014_Saturday,All," TV, video and dvd",02:46,166
Year 2014_Saturday,All," Listening to radio, music",00:45,45
Year 2014_Saturday,All,Travel,01:46,106
Year 2014_Saturday,All, Travel related to eating,00:43,43
Year 2014_Saturday,All, Travel to/from work,01:00,60
Year 2014_Saturday,All, Travel related to study,00:51,51
Year 2014_Saturday,All, Travel related to household care,00:58,58
Year 2014_Saturday,All, Travel related to voluntary work and meetings ,00:46,46
Year 2014_Saturday,All, Travel related to social life,01:18,78
Year 2014_Saturday,All, Travel related to sports,00:44,44
Year 2014_Saturday,All, Travel related to changing locality,02:48,168
