fatheduc,motheduc,nkids,faminc,huswage,hushrs,husage,huseduc,city,unem,inlf,mtr
7,12,0,19495,6.7106,1040,57,8,1,7.5,1,0.6915
7,7,1,13579,5.5556,2250,55,12,1,5,0,0.7215
7,10,2,21574,7.7521,1880,58,8,1,14,0,0.7215
7,7,3,36872,9.259,2916,38,15,1,5,0,0.6215
7,12,1,7040,4.8077,1040,46,13,0,3,0,0.7915
7,7,4,15000,5.8824,2352,37,11,1,7.5,0,0.7515
3,7,2,17200,7.0352,1960,44,16,1,7.5,1,0.7215
12,12,0,36430,7.2709,2123,51,15,1,11,1,0.6215
16,16,3,25490,8.3333,1278,38,16,1,9.5,1,0.6615
7,7,3,21700,6.9767,2460,42,8,1,5,1,0.7215
9,12,1,13066,5.9846,1880,31,12,1,14,1,0.7215
14,10,3,42430,13.061,2100,48,14,1,7.5,1,0.52
12,14,0,29400,8.8145,2286,50,16,0,9.5,1,0.5815
7,7,1,34000,9.7959,2068,56,10,1,14,1,0.5815
7,7,1,14300,3.4806,2241,41,9,1,7.5,1,0.7215
3,7,0,32600,8.4574,2632,44,13,0,5,1,0.5815
7,7,1,15189,4.6875,2805,44,12,1,3,0,0.7215
7,7,2,5550,0.9615,3120,47,12,0,3,0,0.9415
9,9,0,9400,1.9835,2420,47,4,0,9.5,1,0.7515
12,12,4,23591,8.4,1760,35,17,1,14,1,0.6615
7,7,0,17045,7.2285,2062,53,14,1,9.5,0,0.7215
7,7,2,10000,4.3956,2275,53,12,1,7.5,1,0.7515
12,12,1,23100,6.2762,2390,30,10,0,5,1,0.6615
12,12,1,13390,5.0833,1800,50,12,0,11,0,0.7515
14,12,2,29850,13.061,1896,53,17,1,9.5,1,0.5815
7,7,3,32242,6.9767,2107,48,8,1,7.5,1,0.6915
3,7,3,25500,4.8329,3150,44,12,1,11,0,0.6615
7,7,2,20425,5.7143,2100,43,12,0,7.5,1,0.6915
12,12,4,23500,7.9125,2970,44,16,1,11,0,0.6915
7,7,1,25300,9.8765,2068,46,12,1,11,1,0.7215
10,7,2,25100,5.508,2496,51,10,0,5,0,0.6615
10,12,3,14500,4.5851,1840,37,12,1,11,1,0.7515
7,7,0,19495,6.7106,1040,57,11,1,7.5,1,0.6915
12,7,1,26800,9.5238,2205,53,14,1,14,1,0.6215
7,7,2,26220,6.0531,2301,42,10,1,7.5,1,0.6615
14,14,1,28700,8,2375,45,16,1,14,1,0.6215
7,7,1,20968,4.1269,1955,46,8,0,11,0,0.7515
7,7,0,16310,5.222,1914,54,12,0,7.5,1,0.7215
10,7,0,15000,2.7,2500,58,12,0,7.5,0,0.7215
14,16,2,28000,7.6989,2338,42,9,0,11,1,0.6615
14,16,4,36000,7.2308,2600,34,12,0,3,0,0.6615
7,7,0,48800,14.583,1920,48,12,1,11,1,0.4915
7,12,3,13579,10.909,880,44,11,1,11,1,0.7515
12,7,1,32950,12,1528,58,17,1,14,1,0.5815
17,16,0,30000,3.131,4160,48,17,1,7.5,1,0.5515
7,7,2,25633,9.1702,2250,46,12,1,7.5,1,0.6915
9,7,0,24860,4.0253,3478,53,9,0,11,0,0.7215
12,12,2,18300,5.9995,2452,35,14,1,9,1,0.6615
7,14,0,19495,5.2632,2227,57,11,1,7.5,1,0.6915
3,12,0,33570,9.1748,3080,43,17,1,7.5,1,0.61
12,12,0,42000,17.25,1913,53,16,1,14,1,0.4915
7,7,0,20177,4.7101,1656,52,12,1,7.5,1,0.7215
12,7,0,14550,7.5057,1050,53,8,1,14,1,0.7215
7,7,1,29800,15.429,2250,44,14,1,7.5,0,0.5815
7,16,2,51000,23.81,2600,40,17,1,14,0,0.4415
10,7,5,21823,6.085,2012,44,13,0,5,0,0.7215
10,7,0,14884,5.55,880,45,11,1,9.5,1,0.7515
16,16,0,42100,16.667,2600,33,16,1,7.5,1,0.5215
12,3,0,16917,5.3112,1864,48,12,1,7.5,1,0.7515
7,7,3,12000,4.7059,2550,31,12,0,14,0,0.7515
7,7,1,33100,9.3204,2895,38,12,1,9,1,0.5515
7,12,4,15000,5.8824,2550,45,11,0,14,0,0.7515
12,14,6,26060,8.8077,2080,34,16,1,14,1,0.6915
7,3,3,26000,8.5,2500,42,13,1,11,0,0.7215
10,7,0,14694,8.8765,640,43,12,1,11,0,0.7215
7,7,0,18100,7.4266,2024,51,11,1,7.5,1,0.6915
7,7,1,13066,6.6379,1160,32,12,1,11,1,0.7515
7,17,1,13066,8.3112,1160,32,12,1,9.5,0,0.7215
7,7,0,32011,7.5688,3478,56,12,0,7.5,1,0.5815
7,7,0,29650,8.0523,2550,48,11,1,5,1,0.6215
7,7,3,13579,10.909,768,51,9,1,11,1,0.7515
3,7,3,6800,2.0562,3307,36,4,0,7.5,0,0.7915
7,7,0,23150,7.1846,2286,52,14,1,9.5,1,0.6615
12,7,1,23591,6.2174,2025,34,12,1,11,1,0.6615
7,7,0,12090,5.9172,2028,46,12,1,9.5,1,0.7215
7,7,0,11895,3.8384,1640,45,12,1,5,0,0.7715
12,12,0,28200,6.2972,3410,50,10,1,9.5,1,0.6615
12,10,3,13755,4.8787,1605,52,14,1,7.5,1,0.7515
14,10,5,29400,12.766,1880,48,12,1,7.5,0,0.6615
7,10,3,10867,3.7129,2020,37,8,0,7.5,1,0.7815
10,7,2,29774,7.093,1720,56,8,1,9.5,1,0.6215
7,12,2,7000,1.3075,3096,39,12,0,7.5,1,0.7815
7,7,0,15000,10.526,760,49,12,1,9.5,1,0.72
10,10,0,23980,8.7912,1554,50,8,0,7.5,1,0.6615
7,17,4,24000,11.291,1984,42,16,1,14,0,0.6615
12,12,3,27300,8.1633,2000,30,16,1,9.5,1,0.6215
7,7,5,21823,6.085,1948,44,12,1,7.5,0,0.7215
3,7,1,13400,5.6122,1936,56,9,1,7.5,0,0.7215
7,14,3,24466,13.725,1530,49,15,1,9.5,1,0.7515
7,7,1,22159,2.6667,3000,55,5,1,7.5,1,0.7515
3,3,2,11920,3.2788,2080,43,8,1,7.5,1,0.7515
7,12,3,17930,5.2528,2690,44,12,0,5,1,0.7215
0,0,1,7700,4.287,2286,40,12,0,14,0,0.7515
12,12,1,22800,18,1100,47,17,0,7.5,0,0.6615
0,3,1,23426,7.2285,2677,53,12,1,7.5,0,0.7215
12,7,1,9450,3.8246000000000002,2856,43,12,0,7.5,0,0.7215
7,7,2,23882,5.6889,2610,57,10,1,9.5,0,0.7215
12,12,2,13700,8.5066,1587,39,12,1,14,0,0.7215
14,12,2,23100,7.9125,1875,50,8,1,5,1,0.6915
7,7,0,6000,3.2027,1110,39,15,1,14,0,0.7815
10,7,4,33220,13.298,2310,34,14,1,11,1,0.6215
3,9,0,18900,2.5485,4120,60,8,0,14,1,0.6915
12,10,1,32950,10.05,1528,58,17,1,5,1,0.64
3,7,0,23000,8.1566,2452,54,12,1,3,0,0.6915
3,7,0,10700,1.48,3481,58,9,0,7.5,0,0.7515
7,10,2,24135,7.1222,2119,51,8,1,7.5,1,0.7215
3,7,0,32600,11.244,2632,50,13,0,5,1,0.6215
12,3,0,33856,2.5425,3672,54,12,0,7.5,0,0.6915
7,7,4,12048,4.1228,2183,34,11,1,11,1,0.7515
12,7,2,6114,1.3013,3120,39,10,0,14,0,0.7915
3,7,4,2500,0.5494,3640,33,11,0,3,1,0.9415
7,7,1,28900,8.3017,2108,51,16,0,5,0,0.6915
7,7,0,22500,5.087,2553,47,17,1,7.5,1,0.6915
0,7,4,18214,3.4415,3096,37,12,0,3,0,0.7215
12,12,0,28069,11.153,2140,44,17,1,14,0,0.6615
12,12,2,9450,3.9629,2372,34,12,0,9.5,0,0.7515
7,7,0,10700,2.1194,3481,54,9,0,7.5,0,0.7515
10,12,0,17290,7.1565,1820,47,11,1,9.5,1,0.7215
12,12,2,14800,6.6182,2142,34,12,1,7.5,0,0.7215
10,12,4,18850,5.4054,4334,31,16,1,14,0,0.7515
7,12,2,15830,5.3146,2352,41,8,0,5,1,0.7515
7,12,2,7000,1.3075,3096,37,12,0,3,1,0.7815
12,12,1,20800,5.0783,2875,35,17,1,5,1,0.6915
7,10,1,18750,8.3112,2256,56,8,0,11,0,0.6915
3,12,2,14000,5.6738,2115,53,10,0,11,0,0.7515
7,7,2,15519,2.7998,2700,46,16,1,14,0,0.7215
7,7,0,16000,8.7912,1665,58,8,1,11,0,0.7215
12,12,2,13200,5.6122,1960,35,12,1,11,0,0.7515
12,7,0,26000,11.244,2180,54,13,1,5,1,0.6215
7,12,1,23500,7.9125,2970,34,12,1,14,0,0.6615
7,7,0,30800,9.4545,2140,56,14,0,5,1,0.5815
12,10,3,21500,11.929,2016,44,12,1,14,0,0.6915
3,3,1,66300,26.578,880,47,16,1,14,1,0.5
10,12,2,40250,12,2677,31,17,1,5,0,0.5215
12,12,2,18400,3.3424,3300,37,17,0,14,1,0.6915
12,7,1,18800,8.362,2068,60,12,1,11,0,0.7215
12,7,2,22225,9.2567,2398,46,14,1,5,0,0.6915
7,12,1,23057,7.0769,2400,43,12,1,11,0,0.6215
7,10,0,36000,7.0423,2280,58,13,1,11,1,0.52
12,10,1,20300,7.5758,2701,49,12,1,11,0,0.6915
12,12,3,28200,7.4882,2250,34,17,0,7.5,1,0.7215
17,16,0,25000,6.73,2526,41,13,1,9.5,1,0.5815
7,12,2,22846,6.2339,2390,41,16,1,7.5,0,0.7215
7,12,1,30300,11.322,1864,51,12,0,7.5,1,0.6215
3,3,0,13072,4.1152,1944,53,7,0,14,0,0.7515
10,7,2,25100,5.508,4334,51,12,0,9.5,0,0.6615
12,12,2,30800,9.3235,1700,53,17,0,3,0,0.5815
7,3,2,14545,3.8246000000000002,2144,46,9,0,5,1,0.7215
7,7,2,26220,11.529,1350,42,12,1,7.5,1,0.6615
7,7,0,6719,2.7821,1840,53,10,1,7.5,1,0.7515
0,0,1,13400,4.287,2286,40,12,0,14,0,0.7515
7,7,1,26000,6.6496,2040,58,10,1,9.5,1,0.6615
12,14,2,45205,6.54,2500,47,12,1,5,1,0.61
7,7,2,10455,4.9669,2007,38,12,0,11,1,0.7215
16,7,0,48800,14.583,1920,48,16,1,11,1,0.4915
10,12,5,4350,0.7595,3160,30,12,0,7.5,0,0.9415
12,7,2,45205,6.54,2500,47,12,0,3,1,0.5
12,12,0,23057,10.692,880,49,8,1,14,0,0.6915
7,7,3,36150,11.719,2304,30,16,1,14,1,0.5515
7,10,0,18000,8,2280,37,14,0,7.5,0,0.6915
12,12,1,36872,5.0455,2940,37,17,1,11,1,0.5815
12,12,2,15980,5.9995,1856,35,14,1,9,1,0.7215
3,12,3,39500,2.6961,5010,42,13,1,7.5,1,0.5515
7,7,0,15300,9.1185,1645,40,12,1,7.5,0,0.7215
7,7,0,57000,11.931,3185,57,13,1,14,1,0.4615
7,7,3,12646,4.3294,2125,51,11,1,5,0,0.7515
12,12,1,31700,10.6592,2580,39,17,1,7.5,1,0.5815
12,7,0,43210,15.063,1932,54,14,1,11,1,0.5215
12,7,5,21823,6.085,2880,44,13,1,11,1,0.6915
7,12,2,6719,5.3476,1985,44,9,1,9.5,0,0.7815
7,7,1,18300,5.144,1944,44,10,1,9.5,1,0.6915
7,12,2,16245,7.2917,2070,53,16,1,9.5,1,0.7215
7,12,2,23820,3.463,2040,41,12,0,5,1,0.6615
7,12,2,22846,6.2339,2420,40,12,1,5,0,0.7215
3,7,4,47500,19,2500,34,16,1,7.5,0,0.4615
7,7,3,21700,2.3478,3625,41,12,0,3,1,0.6915
7,10,0,20528,7.3651,2275,49,7,1,14,0,0.7215
10,10,2,27092,7.767,2060,44,12,1,11,0,0.7215
12,12,2,24500,9.6354,2256,39,14,1,5,0,0.6615
7,14,0,22660,10.526,760,42,12,1,9.5,1,0.6215
7,7,1,21500,3.5242,2068,45,12,1,7.5,0,0.7215
3,7,2,18190,4.2975,3644,47,12,0,3,1,0.7215
7,12,2,11000,5.6122,1927,35,12,1,11,0,0.7515
12,12,3,52645,7.2308,3080,35,15,0,5,1,0.4415
7,7,0,13600,4.7101,1656,54,11,0,7.5,1,0.7215
3,10,3,27000,7.5,2400,32,12,1,14,1,0.6215
12,16,2,29000,7.3061,2750,35,17,0,9.5,1,0.6215
7,7,2,17410,6.6872,1944,41,17,1,7.5,1,0.7215
7,7,1,12077,5.2863,1152,52,10,1,9.5,1,0.7715
12,14,4,19730,11.244,2096,31,12,0,11,0,0.6915
16,14,2,21120,7.3651,2263,32,14,1,9,1,0.6915
12,10,2,36872,8.6061,2860,50,13,0,11,1,0.5515
7,10,1,12900,4.6053,1824,47,12,1,7.5,1,0.7215
3,7,3,16200,4.0625,1920,35,7,0,7.5,0,0.7515
7,7,4,33100,8.9329,3193,32,17,0,7.5,0,0.6215
7,12,1,12077,6.447,1135,34,10,1,9.5,1,0.7715
10,12,2,28626,6.713,1920,40,12,1,5,1,0.6615
7,10,6,36150,11.814,2880,36,12,1,7.5,1,0.5815
7,7,3,16600,7.0578,2352,37,7,0,5,0,0.7215
7,12,3,24400,11.929,2250,38,16,1,5,0,0.6215
7,7,3,14800,6.5778,2250,33,12,1,9,0,0.7215
3,7,1,23426,8.1081,2677,53,13,1,7.5,0,0.7215
9,14,3,10867,2.6701,2625,41,17,0,7.5,0,0.7515
7,10,3,24135,7.1222,2119,49,8,1,7.5,0,0.7215
12,10,0,24760,6.425,3035,48,14,1,5,1,0.6615
14,7,2,18450,8.656,1984,34,15,0,9.5,1,0.7215
12,3,3,29500,9.0543,1988,34,10,1,7.5,0,0.7215
7,7,0,5380,1.4066,1820,59,7,0,5,1,0.7715
12,7,1,28626,8.8865,2640,59,12,1,14,0,0.6915
7,10,2,18600,6.1224,2156,35,13,1,7.5,1,0.6915
7,7,1,24400,5.4487,3120,33,15,1,11,1,0.6615
7,10,1,30623,7.2137,3080,43,12,1,7.5,0,0.6215
7,3,3,21620,5.3327,1960,58,12,0,7.5,1,0.7215
9,7,3,29200,12.578,2250,38,12,1,14,0,0.6215
3,7,0,20320,6.9231,1040,49,16,1,11,1,0.6915
12,16,3,16150,8,2164,37,17,1,14,0,0.7215
7,7,6,23600,6.425,3035,39,14,1,14,1,0.6615
7,7,1,15620,2.951,2040,46,12,0,7.5,1,0.7215
12,12,2,52600,7.5727,2600,35,15,0,3,1,0.4915
7,7,0,15810,7.6829,1914,54,12,0,11,1,0.6615
12,12,0,28141,6.2972,2856,47,12,1,7.5,1,0.6615
10,12,1,30800,13.57,2921,46,16,1,9.5,0,0.6215
7,7,0,21972,11.47,2103,50,16,0,7.5,0,0.6615
7,10,1,31100,11.364,1990,48,16,1,11,1,0.5815
16,16,0,57300,16.064,1880,50,16,1,14,1,0.4915
7,12,2,42430,16.403,1896,42,17,1,11,1,0.4915
7,7,1,10020,5.3112,1864,38,12,1,7.5,1,0.7515
7,7,2,12916,1.9988,2183,33,10,0,11,1,0.7515
3,7,0,51200,16.907,1670,54,8,1,9.5,1,0.4415
7,7,3,21800,6.425,3035,42,17,1,7.5,1,0.6615
7,7,2,32950,10.4,2250,50,12,1,7.5,1,0.6215
7,7,1,30000,6.5401,2068,40,12,1,11,1,0.6215
7,7,1,12092,8.867,1218,32,8,0,3,0,0.7515
7,7,1,12092,8.867,1512,32,8,0,3,0,0.7515
12,12,3,24656,7.5449,1880,47,17,1,7.5,0,0.6915
7,12,3,4350,3.6458,960,33,9,0,7.5,0,0.9415
10,10,1,55000,12.478,3390,47,14,1,11,1,0.4615
10,10,2,25000,8.8458,3024,30,17,1,5,1,0.6215
16,14,0,24000,13.725,1530,32,17,1,9.5,1,0.6615
0,12,2,28316,8.8458,2250,30,16,1,11,1,0.6215
7,3,1,10000,6.425,840,52,8,1,14,0,0.7515
12,12,2,16700,2.6418,3644,35,12,1,7.5,0,0.7215
7,7,0,33671,9.8315,2350,55,12,1,14,0,0.7215
7,7,2,24466,7.75,2400,49,9,1,7.5,0,0.6615
9,10,1,37000,8.6248,3000,50,17,1,9.5,1,0.5815
7,12,0,16000,8.5714,2064,53,12,1,14,0,0.7215
3,3,2,11920,3.2788,2080,43,9,1,7.5,1,0.7515
12,16,3,25100,7.8125,2046,48,12,1,5,1,0.6915
7,7,1,12092,8.867,1218,32,8,0,3,0,0.7515
7,10,0,13399,4.2975,1820,59,7,0,5,1,0.7715
12,14,0,16000,6.5934,1920,50,17,1,7.5,1,0.6915
7,7,0,26060,5.3864,3390,50,12,1,7.5,1,0.6915
12,12,2,31600,14.796,1800,38,15,1,5,1,0.5815
14,14,2,79750,12.805,3680,46,16,1,14,1,0.4415
7,10,0,13300,3.6846,2524,57,7,0,14,1,0.7215
7,7,0,25360,7.8125,1920,48,10,1,9.5,1,0.6615
7,7,0,24000,4.5466,2210,51,12,1,11,0,0.6615
7,7,0,19007,1.854,2760,60,11,0,3,1,0.6915
12,12,4,8100,2.2442,2150,34,11,0,7.5,0,0.7815
7,7,1,22897,10.526,760,60,12,1,9.5,1,0.6615
7,10,2,13350,3.1056,2739,33,12,1,11,1,0.7215
7,7,0,25561,9.5238,1952,58,12,1,14,1,0.6615
7,9,3,13126,1.8491,2094,50,12,0,14,0,0.7515
7,7,0,10700,1.6905,3481,53,9,1,7.5,0,0.7515
7,7,3,32590,9.3204,3120,48,12,1,5,0,0.6615
12,12,0,24400,10,1634,45,14,1,7.5,0,0.6915
10,10,1,21120,5.4448,1960,38,14,1,7.5,1,0.6615
12,12,1,35100,9.5545,2048,31,17,1,14,1,0.61
7,7,0,40500,12.936,1920,53,17,1,14,1,0.5515
12,7,2,5330,1.3013,3120,39,12,0,14,1,0.7915
7,7,0,18500,4.053,2640,51,12,0,7.5,1,0.6915
7,7,0,26060,6.1111,2455,55,12,0,7.5,1,0.6215
7,7,0,25490,11.244,2304,57,16,1,9.5,0,0.5815
16,16,0,8630,4.3945,1690,39,16,1,5,0,0.7915
7,12,2,16700,5.8267,1920,33,12,1,7.5,1,0.7215
12,12,4,40213,12.478,1848,46,16,0,14,1,0.61
9,7,0,11431,4.6154,2080,57,12,1,11,1,0.7515
16,12,1,30000,7.0352,3150,34,17,1,11,1,0.5815
3,12,3,12870,7.8646,1920,35,9,0,11,0,0.7515
10,12,0,14090,4.4444,2000,54,12,0,3,1,0.7215
12,7,1,19392,11.47,1848,31,13,0,14,1,0.6915
3,7,2,21800,7.2072,2310,30,14,0,11,1,0.6615
12,10,0,36000,10.526,1677,54,16,1,14,1,0.5515
10,14,2,18500,9.8039,2044,33,15,1,9.5,0,0.7215
12,12,0,8234,3.3439,2164,49,12,0,14,1,0.7515
12,14,1,28700,8,2375,47,14,1,7.5,1,0.6215
12,12,2,9450,4.2098,2372,44,12,0,9.5,0,0.7815
7,7,3,8009,4.4938,2840,38,12,1,14,0,0.7815
10,10,0,16212,8.1566,2012,47,11,0,11,1,0.7215
12,12,2,22200,11.529,2116,57,17,1,9.5,0,0.6615
7,12,1,31600,8.3333,2178,37,15,1,11,1,0.5815
7,7,0,8000,1.8918,2874,52,8,1,3,0,0.7515
10,16,1,23920,6.0069,2750,42,8,1,9.5,1,0.6615
14,16,3,62500,20.496,2750,32,16,1,14,0,0.4415
7,7,0,22200,9.3827,2025,47,12,1,11,0,0.6615
7,14,2,18900,3.9838,2256,33,10,0,11,1,0.7515
0,0,0,13000,4.4755,2860,49,8,0,3,0,0.7215
12,12,4,20800,5.0783,2036,31,12,0,9.5,1,0.6915
16,16,2,45250,16.745,1911,44,16,1,5,1,0.4915
7,7,4,73600,18.964,2450,42,15,1,7.5,0,0.4415
7,12,0,28900,13.021,1928,56,14,0,7.5,1,0.5815
7,7,3,4350,3.6458,960,33,9,0,7.5,0,0.9415
7,7,2,21120,9.0676,1605,32,17,1,9,1,0.6615
10,7,1,13250,5.1894,1927,47,10,1,5,1,0.7515
7,7,3,10455,4.5173,2007,38,12,0,11,1,0.7515
3,12,1,32300,9.7959,2450,34,12,0,5,1,0.6215
7,14,3,39500,4.1667,5010,38,15,0,7.5,1,0.5515
12,7,1,38700,15.16,2630,34,14,1,7.5,1,0.5215
12,12,0,32011,5.4967,2456,48,16,0,11,1,0.5815
16,12,1,16370,7.8646,760,47,12,0,11,1,0.7215
9,7,3,28141,5.7343,2666,53,8,1,7.5,1,0.6215
3,3,0,37700,7.8529,2040,59,5,0,7.5,0,0.5815
10,12,0,14694,13.555,640,43,17,1,9.5,0,0.6615
10,7,3,39000,19.562,2360,46,16,1,14,1,0.6215
7,7,2,20425,5.7143,2100,43,12,0,14,1,0.6915
3,7,2,28700,9.5238,1968,47,11,1,11,1,0.6615
7,10,1,14300,3.4806,2419,41,9,1,3,1,0.7215
12,12,2,14209,7.569,1640,39,13,1,7.5,1,0.7515
12,14,2,17302,3.468,2032,46,12,0,3,1,0.7215
12,10,2,18700,4.053,2504,37,12,0,7.5,1,0.6915
7,7,3,3777,1.8515,2040,58,4,0,11,0,0.9415
7,14,0,16300,1.2861,3443,59,12,1,11,1,0.6915
7,7,1,32590,6.6667,2450,43,12,1,7.5,1,0.6215
3,7,2,22172,6.3493,2080,48,10,0,9.5,1,0.6615
7,7,1,18750,13.725,1665,49,17,1,14,0,0.7215
10,10,2,16400,6.9888,1944,52,12,0,7.5,1,0.7515
12,12,4,23900,8.0523,2070,34,14,1,7.5,1,0.6915
7,9,0,25500,5.8366,2570,58,12,1,9,1,0.6615
7,10,2,22600,7,2500,41,8,0,7.5,1,0.6915
7,12,2,13900,6.6379,2100,34,12,1,9.5,0,0.7515
12,12,2,26613,9.375,1920,38,16,1,7.5,0,0.6615
7,7,1,10876,6.3776,960,57,10,0,7.5,0,0.7515
7,7,0,32300,3.8263,2456,55,11,1,11,1,0.6615
12,12,0,18900,9.2347,2470,56,14,1,11,1,0.6615
14,7,1,23100,7.52,1875,50,8,1,5,0,0.7215
12,12,3,21400,3.8462,4030,33,10,0,3,1,0.6915
7,10,2,33100,15.152,1980,42,16,1,7.5,0,0.5815
12,10,4,28141,10,1920,37,17,1,7.5,1,0.6215
7,7,1,30800,10.228,3340,46,12,1,14,0,0.5815
12,12,1,31000,10.471,1528,49,17,1,9.5,1,0.5815
7,7,4,24717,9.2567,2139,56,12,1,7.5,0,0.6915
3,7,3,55000,12.478,2805,47,12,0,5,1,0.4615
12,12,1,22200,7.4101,2058,51,12,1,5,1,0.6915
7,3,1,19730,7.8125,1920,48,10,1,7.5,0,0.6615
12,7,3,24479,8.6061,1913,42,14,1,9.5,0,0.6915
10,7,0,19022,9.2955,1520,33,15,1,11,1,0.6915
16,16,3,42100,19.562,1680,45,16,1,5,0,0.5215
12,12,3,21152,5.0783,2875,45,12,1,7.5,1,0.6915
12,12,4,22800,7.365,2400,34,13,1,14,1,0.6615
7,7,2,28070,5.2511,2190,51,12,0,7.5,0,0.7515
7,7,4,32685,11.4,2400,40,12,1,7.5,0,0.6215
12,12,2,27850,8.5102,2732,42,12,0,14,1,0.6215
3,7,2,26613,7.2137,2218,53,12,1,9.5,1,0.6915
10,12,0,33552,6.0535,1848,53,12,1,7.5,1,0.5815
12,12,3,42430,9.3235,2450,48,14,1,11,1,0.5215
7,10,1,21100,6.6872,1944,41,8,1,7.5,1,0.7215
12,12,3,23000,7.0769,2456,32,12,1,7.5,0,0.7215
16,12,2,30419,9.1429,2739,39,17,1,14,1,0.6615
7,7,2,20425,7.1671,2651,48,17,0,7.5,0,0.6915
12,12,3,36200,9.3204,2580,52,13,0,3,1,0.6215
12,12,2,50300,22.109,1985,37,17,1,14,0,0.4415
0,3,6,10400,3.4615,2080,33,8,0,7.5,1,0.7815
7,7,1,12198,7.19,1516,47,10,0,7.5,1,0.7515
10,12,4,18850,7.9365,2210,36,16,1,14,1,0.7515
12,16,0,43550,13.959,2805,52,17,0,7.5,1,0.4915
3,3,3,10190,3.2762,1984,34,12,0,14,0,0.7915
7,7,0,16500,2.9762,2016,30,12,0,14,1,0.7215
7,7,1,22159,2.6667,3000,52,5,0,7.5,1,0.6915
7,7,3,12000,5.181,2430,38,14,1,5,0,0.7515
7,12,1,32000,14.476,2455,43,17,1,14,0,0.5815
16,16,4,96000,40.441,2940,33,16,1,7.5,0,0.4415
7,7,1,18800,6,2500,53,12,1,5,0,0.7215
3,7,2,16200,5.9922,1920,35,7,0,7.5,0,0.7815
10,10,3,11203,4.2105,2350,38,14,1,11,1,0.7515
7,7,5,5550,1.8491,3060,49,10,0,3,0,0.9415
12,3,4,13755,4.8787,2350,31,13,1,7.5,0,0.7515
0,0,2,6531,2.9287,2230,43,3,0,7.5,0,0.7815
3,3,0,7044,2.999,1960,47,8,0,14,0,0.7715
10,10,4,18700,5.181,3644,40,12,0,9.5,1,0.6915
7,7,1,15850,6.2143,960,55,10,1,14,1,0.7515
16,16,3,7774,3.342,2601,33,10,0,7.5,1,0.7515
7,10,2,17080,7.1222,2184,51,8,1,7.5,0,0.7215
7,10,3,22897,7.8125,1920,52,12,1,7.5,1,0.7215
12,12,2,28141,8.781,2850,48,12,1,7.5,1,0.6615
10,10,4,43500,8.6359,3680,41,17,1,5,1,0.4915
3,12,3,13740,5.3527,2053,33,12,1,14,0,0.7215
12,16,3,15500,5.3004,2830,42,16,1,5,0,0.7215
3,7,0,22800,6,3000,51,12,1,9.5,1,0.7515
10,12,4,19007,4.1458,3644,33,17,1,9.5,0,0.7215
7,7,0,12900,2.4842,2360,59,7,0,5,1,0.7215
12,7,4,19000,10.193,2070,35,14,1,11,1,0.6915
12,12,1,24600,6.7416,2600,57,12,1,9.5,1,0.6615
7,12,4,21417,6.8,2400,45,14,1,9.5,0,0.7215
7,7,0,24669,6.0453,2301,55,15,1,14,1,0.6615
12,12,0,18200,9.5913,2430,33,12,1,7.5,0,0.6615
12,12,0,26400,12.287,1880,54,12,1,7.5,0,0.6215
3,7,3,21850,7.8039,1999,45,12,1,14,1,0.6915
10,10,2,35300,9.2715,3020,45,16,1,7.5,0,0.6215
12,10,2,37250,10.05,2695,42,16,0,9.5,1,0.5515
3,7,0,22502,5.4967,2456,48,16,1,9.5,1,0.6615
10,7,0,25100,7.8168,2496,51,10,0,5,0,0.6615
12,7,1,26900,9.2955,2450,40,12,0,9.5,0,0.6615
7,7,1,15150,5.8791,1926,46,8,1,7.5,0,0.7515
7,7,3,27017,6.9767,3000,48,8,1,7.5,1,0.6615
7,7,2,23882,9.2715,1780,49,13,1,7.5,0,0.7215
12,12,2,18000,5,1800,50,10,1,9.5,1,0.7515
7,3,0,25360,7.8125,1920,48,10,1,7.5,1,0.6615
3,12,1,24106,8,2460,55,15,1,9.5,0,0.6615
10,7,0,14884,5.55,880,47,11,1,9.5,1,0.7515
12,16,2,16700,5.8267,2746,37,17,1,14,0,0.7215
7,7,2,24984,11.931,1990,49,12,1,14,1,0.6615
12,10,3,26350,9.8315,2062,41,12,1,11,1,0.58
16,14,4,73600,19.444,2500,36,17,0,11,1,0.4415
3,3,3,10190,7.8125,1984,34,12,0,14,0,0.7915
12,7,4,18600,4.183,2210,44,12,1,14,1,0.7515
7,12,0,25320,11.322,1920,51,12,1,5,0,0.6215
7,12,2,29200,7.2285,2921,47,12,0,9,1,0.5815
12,14,2,22600,7.971,3478,33,17,1,9.5,0,0.6615
12,7,3,24656,5.508,2945,47,14,1,5,0,0.6615
12,7,1,19392,8.3369,2315,42,13,0,14,0,0.6915
12,10,0,2400,0.5128,2340,49,12,0,7.5,1,0.8015
7,7,2,18600,6.1224,2156,45,12,0,7.5,1,0.7215
12,14,0,24055,8.1081,2570,48,8,0,9.5,1,0.6615
12,10,0,17080,1.2861,2295,59,12,1,7.5,1,0.6615
7,7,0,26060,5.3864,3390,32,12,1,3,1,0.6215
7,12,0,21800,4.1319,2520,34,16,1,5,1,0.6615
12,12,3,49620,12.478,4684,47,14,0,5,1,0.4915
12,12,2,23900,8,2080,34,13,1,9.5,1,0.7215
7,7,2,47000,10.05,1990,49,12,0,14,1,0.6615
